No;mainline;variant;stars_ml;stars_vr;pr_ml;pr_vr;issues_ml;issues_vr;commits_ml;commits_vr
1;2factorauth/twofactorauth;acceptbitcoincash/acceptbitcoincash;2801;59;5019;880;6151;2057;2337;3730
2;aspnet/EntityFramework6;ErikEJ/EntityFramework6PowerTools;1267;151;857;18;1856;86;1041;188
3;prism/Prism-Bukkit;AddstarMC/Prism-Bukkit;103;103;199;199;282;282;2056;2056
4;JACoders/OpenJK;JKGDevs/JediKnightGalaxies;1618;26;385;39;1102;334;2350;3061
5;Red5/red5-server;ant-media/Ant-Media-Server;2977;2253;82;644;316;3653;72;4752
6;airbnb/react-native-maps;fqborges/react-native-maps;12608;58;921;7;3961;25;555;421
7;don/cordova-plugin-ble-central;fxe-gear/cordova-plugin-ble-central;847;13;114;4;864;10;160;179
8;yihui/hugo-xmin;goodroot/hugo-classic;379;93;18;16;51;23;33;84
9;esbenp/prettier-vscode;numso/prettier-standard-vscode;4010;36;945;8;2223;50;927;25
10;PromyLOPh/pianobar;thedmd/pianobar-windows;1680;96;120;4;718;36;271;298
